queue_no,case_id,project_name,model,original_status,completeness,triage_priority,batch,research_status,evidence_status,reviewer_notes
151,案例C19,北京朝外UIC街区,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,2021年朝阳区首个片区类城市更新UIC；THE BOX A馆80%首店、约4个月销5亿、活动2.25万人次
152,案例C20,成都文殊坊,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,成都三大历史文化街区之一；2017年城投置地提质升级；2026五一74万人次；2025年度影响力特色街区
153,案例C21,成都曹家巷骄子集市,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,线索,名称『骄子集市』无独立公开来源，疑对应『潮+巷夜肆』(1500㎡65摊)或『曹家巷·匠人里』；需原始资料核实
154,案例C22,悉尼QVB维多利亚女王大厦（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,1898年开业五层占乔治街整街区140+店；维基百科+sydney.com；旅游城市地标型历史建筑
155,案例C23,上海虹口区域商业更新,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,今潮8弄约1.5万㎡8条里弄60幢石库门、约500场活动/年；虹口『娱文旅商』模式
156,案例C24,成都regular原野,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,名应为REGULAR源野；大源公园下沉广场3花园20店6528.72㎡层高5.5m；2021-07首批开放
157,案例C25,上海淮海路商业街,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,1900年辟筑近20年四轮更新；2025新增首店87家新开店率超25%；HAI550品牌年更替率约50%
158,案例C26,曼谷松汪road街区（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,线索,松瓦路Song Wat Road百年老街居民自发振兴；Time Out酷街区为转述；仅旅游指南级来源
159,案例C27,槟城Hin Bus Depot兴巴士（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,1947年公交维修站改造乔治市艺术社区；周日市集+米其林一星Au Jardin；维基+米其林指南
160,案例C28,清迈One Nimman尼曼一号（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,线索,2018年落成Ichitan创办人Tan打造『清迈的客厅』；红砖建筑+手作在地品牌；仅旅游博客级来源
161,案例C29,吉隆坡pocket破旧美学街区（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,线索,The Pocket KL位于Pudu旧区，老宅活化保留斑驳墙面裸露结构；仅博客/社媒级来源
162,案例C30,泉州十洲城,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,泉州城建百亿150万方；首期『市井十洲城』福建首个滨海非标街区2026-09开业；200+品牌双引擎
163,案例C31,北京朝外潮庙会,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,2026春节京城首个面向年轻人主题庙会；潮玩IP MOLLY等+潮汕英歌舞非遗；东岳庙联动
164,案例C32,福州上下杭历史街区烟火生活季,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,上下杭2020-12-30步行街开街；『杭肆』文旅品牌+新春大集50+闽式风物30+主理人
165,案例C33,曼谷vanage houses老厂房改造（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,线索,名疑为vintage/Warehouse 30；二战仓库约4000㎡工业风文创园；仅旅行/社媒级来源
166,案例C34,广州阿那亚A perch朋里,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,阿那亚首个半开放式公园商业群落27店铺单元+首店矩阵；花都区九龙湖；艺术中心超6000㎡董功设计
167,案例C35,成都东郊记忆warmix街区,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,原红光电子管厂282亩约20万㎡2011开园；国家工业遗产；『warmix』名无独立来源疑为组团/活动名
168,案例C36,佛山王府井紫薇港,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,季华商圈32万㎡佛山最大体量购物中心；超100佛山首店签约率90%开业率80%；开业约2021底
169,案例C38,北京三里屯太古里路易威登之家,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,2025-12-19启幕青木淳设计(太湖石+连衣裙灵感)；4层全品类+家居；Le Café北京首间/中国第三家
170,案例C39,成都王府井科华店,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,科华购物中心2011-12-25开业建面10万㎡/营业5.5万㎡；王府井成都另有总府店1999北京外最大百货
171,案例C40,新加坡老巴刹（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,1894年迁现址东南亚最古维多利亚建筑之一；新加坡唯一国家古迹内小贩中心；2024年130周年
172,案例C41,广州东山口街区,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,新河浦400+栋洋楼微更新；一方东山2022开业41品牌；2019联合国人居署亚洲都市景观奖
173,案例C42,新加坡FUNan（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,2019-06-28软开/12-27正式；凯德5.6亿新元改造26.9万sqft 6层；骑行友好+攀岩墙科技体验型
174,案例C43,上海上生·新所浴见全国首店,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,浴见全国首店『一个人的自由浴室』2025-11开业；贝泰妮2025首笔战略投资；上生·新所万科运营
175,案例C44,新加坡New Bahru（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B007,已完成,部分核验,前南侨女中(1940s福建会馆创办)；2024-05起逐步开业40+本土品牌创意聚落；SLA官方背书
