queue_no,case_id,project_name,model,original_status,completeness,triage_priority,batch,research_status,evidence_status,reviewer_notes
26,案例C14,成都CPI,三、街区/滨河/历史文化街区,待核验,高,P0,B002,已搜索,部分核验,
27,案例C2,悉尼岩石区（海外）,三、街区/滨河/历史文化街区,待核验,高,P0,B002,已搜索,部分核验,
28,案例C3,北京中海大吉巷,三、街区/滨河/历史文化街区,待核验,高,P0,B002,已搜索,线索,
29,案例C4,宁波秀水街,三、街区/滨河/历史文化街区,待核验,高,P0,B002,已搜索,线索,
30,案例C5,悉尼QVB（海外）,三、街区/滨河/历史文化街区,待核验,高,P0,B002,已搜索,线索,
31,案例C6,上海安福路,三、街区/滨河/历史文化街区,待核验,高,P0,B002,已搜索,部分核验,
32,案例C7,景德镇陶阳里,三、街区/滨河/历史文化街区,待核验,高,P0,B002,已搜索,部分核验,
33,案例C8,北京胡同商业,三、街区/滨河/历史文化街区,待核验,高,P0,B002,已搜索,线索,
34,案例C9,青岛银鱼巷,三、街区/滨河/历史文化街区,待核验,高,P0,B002,已搜索,部分核验,
35,案例B1,东郊记忆,二、城市级概念/产业文商旅,待核验,中,P0,B002,已搜索,部分核验,
36,案例B10,曼谷1981 Soul & Sold,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
37,案例B11,沈阳东北超-机械巨虎,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
38,案例B12,盐官古城-潮乐之城,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
39,案例B13,迪拜文艺园区,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,线索,
40,案例B14,广州阿那亚Aperch,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,线索,
41,案例B15,洛阳魏坡新序,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
42,案例B2,广州聚龙湾,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
43,案例B3,阿那亚70家新店,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,线索,
44,案例B4,阿那亚2026新店,二、城市级概念/产业文商旅,待核验,中,P0,B002,已搜索,线索,
45,案例B5,北京亮马河,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
46,案例B6,伦敦巴特西发电站,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
47,案例B7,北海阿萨卡,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
48,案例B8,上海EKA·天物,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
49,案例B9,北戴河阿那亚,二、城市级概念/产业文商旅,待核验,高,P0,B002,已搜索,部分核验,
50,案例E1,东京OIMACHI TRACKS（海外）,五、混合业态资产激活,待核验,高,P0,B002,已搜索,部分核验,
