queue_no,case_id,project_name,model,original_status,completeness,triage_priority,batch,research_status,evidence_status,reviewer_notes
101,案例A52,武汉光谷K11,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
102,案例A53,天津大悦城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
103,案例A54,上海虹桥前湾印象城MEGA,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
104,案例A55,武汉国金天地,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
105,案例A56,深圳湾万象城二期,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
106,案例A57,上海新天地东台里,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
107,案例A58,上海前滩太古里,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
108,案例A60,杭州城北招商花园城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
109,案例A61,上海恒基·旭辉天地,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
110,案例A62,南京景枫中心,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
111,案例A63,珠海华发商都,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
112,案例A64,长春这有山,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
113,案例A65,京都BAL（海外）,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
114,案例A66,西安SKP,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
115,案例A67,合肥万象城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
116,案例A68,北京国贸商城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
117,案例A69,北京中关村领展广场,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
118,案例A70,杭州湖滨银泰in77,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
119,案例A71,厦门大悦城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
120,案例A72,石家庄万象城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
121,案例A73,南京新街口IFCX,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
122,案例A74,曼谷CENTRAL PARK（海外）,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
123,案例A75,深圳海雅缤纷城,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
124,案例A77,南京金陵天地,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
125,案例A78,杭州嘉里中心,一、区域型购物中心/综合体,待核验,高,P1,B005,已搜索,部分核验,
