queue_no,case_id,project_name,model,original_status,completeness,triage_priority,batch,research_status,evidence_status,reviewer_notes
301,案例E11,酷拼工坊,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
302,案例E12,OIMACHI TRACKS（海外）,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
303,案例E13,阿那亚北岸悦酒店,五、混合业态资产激活,待核验,高,P1,B013,已搜索,线索,
304,案例E14,国家大剧院,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
305,案例E15,"上海""在水一方""科技馆",五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
306,案例E16,吉隆坡mingle名楽（海外）,五、混合业态资产激活,待核验,高,P1,B013,已搜索,线索,
307,案例E17,大连东关街,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
308,案例E18,成都建发望悦城,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
309,案例E19,天府111,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
310,案例E20,合肥中心尚都筑格酒店,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
311,案例E21,三亚华润海棠湾,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,去重：与案例B96同项目（三亚华润海棠湾片区统筹），并入DG22
312,案例E22,重庆城际酒店,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
313,案例E23,亚朵星巴克联名,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
314,案例E24,上海INS新乐园,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
315,案例E25,上海静安嘉里中心,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
316,案例E26,杭州万象城,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
317,案例E27,香港影湾园（海外）,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
318,案例E28,桔子酒店,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
319,案例E29,成都天府招商花园城,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
320,案例E30,华润置地达尔文营地,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
321,案例E31,曼谷NEXTOPIA（海外）,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
322,案例E32,深圳海洋中心城市更新,五、混合业态资产激活,待核验,高,P1,B013,已搜索,线索,
323,案例E33,北京三里屯太古里,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
324,案例E34,上海曹路招商花园城,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
325,案例E35,墨尔本MECCA（海外）,五、混合业态资产激活,待核验,高,P1,B013,已搜索,部分核验,
