queue_no,case_id,project_name,model,original_status,completeness,triage_priority,batch,research_status,evidence_status,reviewer_notes
426,案例D77,京都百年老屋群（海外）,四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
427,案例D78,成都清源社区,四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
428,案例D79,成都玉林芳华街,四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
429,案例D81,上海六六梧桐园林里会,四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
430,案例D82,REX KL(海外),四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
431,案例D83,瑞虹天地月亮湾(微软生长花鸟集),四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
432,案例D84,The Campus Ampang(海外),四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
433,案例D85,CPI coco ma,四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
434,案例D86,上心桥公园,四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
435,案例D87,安踏0碳使命店,四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
436,案例D88,上海新天地(及太平洋新天地),四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
437,案例D90,and department soul(海外),四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
438,案例D91,上升新锁,四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
439,案例D92,living room(药厂新品牌),四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
440,案例D93,六运小区,四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
441,案例D94,Tagi(塔皮),四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
442,案例D95,三亚东岸鹭洲,四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
443,案例D96,serendipity blend,四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
444,案例D97,纽约布鲁克林DUMBO(海外),四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
445,案例D98,巴厘岛AKASA悬崖火山咖啡(海外),四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
446,案例D99,香港启德airside,四、社区型非标商业,待核验,高,P1,B018,未开始,未整理,
447,案例A21,成都万象城,一、区域型购物中心/综合体,待核验,中,P2,B018,未开始,未整理,
448,案例A22,西安万象城,一、区域型购物中心/综合体,待核验,中,P2,B018,未开始,未整理,
449,案例A24,宁波环球银泰百货,一、区域型购物中心/综合体,待核验,中,P2,B018,未开始,未整理,
450,案例A29,上海ifc国金中心,一、区域型购物中心/综合体,待核验,中,P2,B018,未开始,未整理,
