queue_no,case_id,project_name,model,original_status,completeness,triage_priority,batch,research_status,evidence_status,reviewer_notes
126,案例A79,菏泽嘉禾城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,原始名『嘉禾城』实为『佳和城』2021-06-26开业23万方；与佳和里区分
127,案例A80,惠州华贸天地,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2011年开业；2024销售额48亿+、年客流2700万+（华贸官网）
128,案例A81,济南领秀城贵和购物中心,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,家庭客群一站式区域商业；2024年REITs化，正式文件待补
129,案例A82,义乌之心,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2017-06开业15万㎡；2021销售额24亿、日均客流6万+
130,案例A83,呼和浩特万象城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2025-07-04开业24万㎡近400品牌近200首店；与案例A1疑似重复
131,案例A84,武昌万象城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2024-05-18开业25万㎡M2轻奢；武汉第二座万象城，汉口首座19万方勿混
132,案例A85,太原万象城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2018-09-15开业华北最大万象城；会员120万、61%品牌业绩太原第一
133,案例A86,南京玄武招商花园城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2025年启幕14万㎡；骑行友好/天文台/动物园联动，95%开业率240+品牌
134,案例A87,成都大悦城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2015-12-19开业40万㎡潮玩购物公园；2024年以之为底层资产REIT上市
135,案例A88,上海徐汇万科广场,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,约10万㎡三线TOD城市绿毯；超200品牌40%+区域首店
136,案例A89,深圳壹方天地,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,ABCDE五区1000+品牌华南最长步行街；C区壹方城2021开业25万㎡
137,案例A90,上海港汇恒隆广场,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,三年半资产优化（2017-2020）；2023上半年销售+68%、出租率98%
138,案例A91,七宝灵展广场（原七宝万科）,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,领展2024-02以23.838亿元购余下50%全资持有并更名灵展广场
139,案例A92,成都 IFS,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2014年开业76万㎡综合体；I am Here爬墙熊猫成城市地标IP
140,案例A93,济南印象城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2019-06-01开业首日客流25万；体量口径11/12/15万方需注明
141,案例A94,南昌大悦城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2025-05-31开业首日客流24万+；品牌口径260+vs220+需注明
142,案例A95,重庆万象城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,一期2014年开业，北区2023-06-18；整体50万㎡国内最大重奢万象城
143,案例A96,长沙万象城,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2024-12-18开业26.7万㎡423品牌170+首店；首日销售2300万客流25万
144,案例A97,成都温江合生汇,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2015年开业260+品牌80%首进温江；2020年升级更名成都合生汇
145,案例A98,淄博万象汇,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2015-05-27开业当天客流近20万；45万㎡为项目总体量口径
146,案例A99,侨福芳草地,一、区域型购物中心/综合体,待核验,高,P1,B006,已完成,部分核验,2012-09-16开业20万㎡LEED铂金；2023客流较2017降约40%；2025转轻资产
147,案例C15,上海延庆路/东湖路/永源路小马路商业更新,三、街区/滨河/历史文化街区,待核验,高,P1,B006,已完成,部分核验,东湖路-延庆路青年客群占比77%、人均消费430元；永源路资料少
148,案例C16,马来西亚怡保夜生活街区（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B006,已完成,线索,仅旅游指南级来源（agoda/Trip.com），需补官方或行业来源
149,案例C17,成都三色锦岸夜市（原三色路）,三、街区/滨河/历史文化街区,待核验,高,P1,B006,已完成,部分核验,五允许一坚持政策+后备箱露营风；2022-11被叫停后提档升级四大片区
150,案例C18,北京王府中環,三、街区/滨河/历史文化街区,待核验,高,P1,B006,已完成,部分核验,香港置地内地首个地标；15万㎡总开发、140+品牌近30首店；开业口径2017/2018
