queue_no,case_id,project_name,model,original_status,completeness,triage_priority,batch,research_status,evidence_status,reviewer_notes
176,案例C45,杭州良渚文化村玉鸟集,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,玉鸟集2023-05建成开放68934㎡，万科杭州，主理人共创（有方/筑格）
177,案例C46,澳洲布里斯班James Street（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,James Street 110+特色店，昆士兰官方旅游+官网（海外，经营数据待补）
178,案例C47,武汉新天地,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,武汉天地近20年，2025-09更名武汉新天地，瑞安品牌升级为社区品牌（商务局转载/湖北日报）
179,案例C48,上海adidas三叶草外滩秀场,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,adidas官方2025-10-16上海时装周收官大秀POWER OF THREE，外滩地点口径待核
180,案例C49,杭州亚奥万象天地,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,浙江省首个万象天地，12万㎡盒子+街区，开业两日客流33万+（Lead8/gooood）
181,案例C50,佛山岭南新天地,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,佛山岭南新天地2012年开幕，150万㎡128栋历史建筑，年客流超2600万（美通社/南方+）
182,案例C51,北京朝阳花Young潮外消费季,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,花YOUNG潮外UIC片区消费季2025-09-28启动，政府牵头串联朝外地标（市政府官网）
183,案例C52,东京NEWoMan/香港中环街市/北京西单更新场（海外+国内）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,三合一：NEWoMan/中环街市2021-08开放/西单更新场2021亮相（市建局/外办）
184,案例C54,首尔GENTLE MONSTER总部（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,GENTLE MONSTER总部HAUS NOWHERE圣水洞，5品牌整合（GM官方）
185,案例C55,曼谷Central Park（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,对应Dusit Central Park，CPN开发，2025-09-04开幕13万㎡550+品牌（官方）
186,案例C56,青岛万象城,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,青岛万象城2015-04-30开业30.12万㎡，REIT底层资产，出租率99%会员145万（经济导报）
187,案例C57,北京中粮祥云小镇,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,祥云小镇20万㎡六大主题区，2021入选北京首批旅游休闲街区（百科/人民网）
188,案例C58,北京友谊商店/大吉巷/白塔寺东西岔,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,三合一：友谊商店2025-09-23开业/大吉巷端午50万客流/白塔寺东西岔针灸更新（新华网）
189,案例C59,西安曲江创意谷,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,曲江创意谷2018-12-30一期开业52.9万㎡，17米高线公园空中街区（西安晚报/百科）
190,案例C60,沈阳三台子万象汇叁三里,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,三台子万象汇2022-12-09开业12.8万㎡，叁三里2024-06-15开放2000㎡漫氧绿洲（百科/观点）
191,案例C61,上海安福路萨洛蒙概念店,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,萨洛蒙小白楼福郡安福路，479㎡三层三大主题空间（美通社/赢商网）
192,案例C62,东京宫下公园/大阪难波公园/首尔如意岛/吉隆坡Exchange TRX（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,去重：多案合一卡，第4分案Exchange TRX与案例E58同项目，并入DG23（引用时避免重复引用TRX）
193,案例C63,香港铜锣湾希慎丽园街区,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,希慎利园升级计划Lee Gardens for the Next Century，利园八期2026Q3（观点/华懋）
194,案例C64,印力×曼谷The Mall集团合作（含深圳印力中心印象食集）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,印力×The Mall集团2025-07-18战略签约，花花节融合Kud-Thai市集IP（万科/印力）
195,案例C65,首尔圣水洞韩系设计街区（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,圣水洞工业遗产改造设计街区，LCDC/大林仓库/DIOR/TAMBURINS（行业文章/ELLE）
196,案例C66,深圳深业上城/重庆北辰天街/南京德基/郑州郑东万象城室内街区,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,四合一：深业上城60亿/北城天街焕新/德基245亿/郑东万象城2025-06-28（赢商网/人民网）
197,案例C67,深圳大悦城,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,深圳大悦城2025-07-12开业25万㎡，首日客流42万+，三大非标空间（南都）
198,案例C68,曼谷商业设计五大亮点（海外）,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,综述型：曼谷商业设计以EMSPHERE为主要佐证，行业媒体级来源
199,案例C69,西安老城根G park,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,老城根G park 2016年开业，水晶屏+水舞秀场，152品牌40%首进西北（iziRetail/西部网）
200,案例C70,长春万象城漫闪街区,三、街区/滨河/历史文化街区,待核验,高,P1,B008,已完成,部分核验,MIXC YARD城市慢闪街区按季迭代，2025-05-20升级2.0庭院季（新华网吉林）
