queue_no,case_id,project_name,model,original_status,completeness,triage_priority,batch,research_status,evidence_status,reviewer_notes
1,案例A1,呼和浩特万象城,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
2,案例A10,南京德基广场,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
3,案例A11,长沙万象城,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
4,案例A12,绍兴苏宁广场,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
5,案例A13,成都印象城,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
6,案例A14,南昌大悦城,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
7,案例A15,苏河湾万象天地,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
8,案例A16,成都杉杉奥莱,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
9,案例A17,上海青浦百联奥莱,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
10,案例A18,北京世纪金源,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
11,案例A19,西安万象城-生命之树,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
12,案例A2,湾里·王府井WellTown,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
13,案例A20,成都万象城,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
14,案例A3,长宁Artpark大融城,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,线索,
15,案例A4,杭州万象城-香氛节,一、区域型购物中心/综合体,待核验,中,P0,B001,已搜索,部分核验,
16,案例A5,杭州大厦,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
17,案例A6,北京朝阳合生汇,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
18,案例A7,重庆方圆LIVE,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
19,案例A8,苏州万象天地,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
20,案例A9,静安大悦城,一、区域型购物中心/综合体,待核验,高,P0,B001,已搜索,部分核验,
21,案例C1,首尔圣水洞（海外）,三、街区/滨河/历史文化街区,待核验,高,P0,B001,已搜索,部分核验,
22,案例C10,广州黄沙上堓,三、街区/滨河/历史文化街区,待核验,高,P0,B001,已搜索,部分核验,
23,案例C11,上海M+幸福里,三、街区/滨河/历史文化街区,待核验,高,P0,B001,已搜索,部分核验,
24,案例C12,昆明巡津街,三、街区/滨河/历史文化街区,待核验,高,P0,B001,已搜索,线索,
25,案例C13,武汉延庆里,三、街区/滨河/历史文化街区,待核验,高,P0,B001,已搜索,线索,
